"GroupMetrics.Group","GroupMetrics.N","GroupMetrics.TP","GroupMetrics.FP","GroupMetrics.TN","GroupMetrics.FN","GroupMetrics.TPR","GroupMetrics.FPR","GroupMetrics.TNR","GroupMetrics.FNR","GroupMetrics.FDR","GroupMetrics.ACC","GroupMetrics.C","GroupMetrics.F1","GroupMetrics.GINI","GroupMetrics.MISCEVENT","GroupMetrics.MISCEVENTKS","GroupMetrics.MCE","GroupMetrics.ASE","GroupMetrics.RASE","GroupMetrics.MCLL","GroupMetrics.maxKS","GroupMetrics.cutoffKS","GroupMetrics.GAIN","GroupMetrics.LIFT","GroupMetrics.RESP","GroupMetrics.CUMRESP","GroupMetrics.CUMLIFT","GroupMetrics.INTO_EVENT","GroupMetrics.PREDICTED_EVENT","GroupMetrics.P_event_indicator0","GroupMetrics.P_event_indicator1","bias_var"
"           0","       13005","        9891","         303","        2520","         291","0.9714201532","0.1073326249","0.8926673751","0.0285798468","0.0297233667","0.9543252595","0.9850434456","0.9708480565","0.9700868911","0.0456747405","0.0573625529","0.0456747405","0.0337786595","0.1837897154","0.1119719121","0.8978031286","0.8640875283","0.2787271656","1.2787271656","6.3936358279","12.787271656","1.2787271656","0.7838523645","0.7834553985","0.7834553985","0.2165446015","job_in_education"
"           1","        2346","         514","          27","        1756","          49","0.9129662522","0.0151430174","0.9848569826","0.0870337478","0.0499075786","0.9676044331","0.9851882143","0.9311594203","0.9703764287","0.0323955669","0.0358056266","0.0323955669"," 0.026075205","0.1614781874","0.0977282597"," 0.910351265","0.8978232348","3.1918294849","4.1918294849","20.959147425","41.918294849","4.1918294849","0.2306052856","0.2429359847","0.2429359847","0.7570640153","job_in_education"
"           0","       13341","        8536","         298","        4187","         320","0.9638663053","0.0664437012","0.9335562988","0.0361336947","0.0337333031","0.9536766359","0.9882474982","0.9650650085","0.9764949964","0.0463233641"," 0.050895735","0.0463233641","0.0344531104","0.1856154908"," 0.116279983","0.9063814794","0.8974226041","0.5085817525","1.5085817525","7.5429087624","15.085817525","1.5085817525","0.6621692527","0.6645152816","0.6645152816","0.3354847184","job_in_hospitality"
"           1","        2010","        1869","          32","          89","          20","0.9894123875","0.2644628099","0.7355371901","0.0105876125","0.0168332457","0.9741293532","0.9694578005","0.9862796834"," 0.938915601","0.0258706468","0.0547263682","0.0258706468","0.0203109209","0.1425163882","0.0667532144","0.9030927204","0.7249495776","0.0693488618","1.0693488618","5.3467443092","10.693488618","1.0693488618","0.9457711443","0.9420233361","0.9420233361","0.0579766639","job_in_hospitality"
"           0","        4079","        1381","          95","        2452","         151","0.9014360313","0.0372987829","0.9627012171","0.0985639687","0.0643631436","0.9396911008","0.9813488146","0.9182180851","0.9626976292","0.0603088992","0.0603088992","0.0603088992","0.0431864878","0.2078135892","0.1447859707","0.8758427721","0.8641372484","1.6631853786","2.6631853786","13.315926893","26.631853786","2.6631853786","0.3618533954","0.3684723597","0.3684723597","0.6315276403","num_dependents"
"           1","        2834","        1595","          67","        1066","         106","0.9376837155","0.0591350397","0.9408649603","0.0623162845","0.0403128761","0.9389555399","0.9818843907","0.9485578353","0.9637687815","0.0610444601","0.0610444601","0.0610444601","0.0476887777","0.2183776034","0.1628272892","0.8785486757","0.8785486757","0.6696061141","1.6696061141","8.3480305703","16.696061141","1.6696061141"," 0.586450247","0.5952007536","0.5952007536","0.4047992464","num_dependents"
"           2","        2417","        1582","         128","         661","          46","0.9717444717","0.1622306717","0.8377693283","0.0282555283","0.0748538012","0.9280099297","0.9766483559","0.9478729778","0.9532967119","0.0719900703","0.0736450145","0.0719900703","0.0528266864","0.2298405672","0.1731594228","0.8632299773","   0.8095138","0.4864864865","1.4864864865","7.4324324324","14.864864865","1.4864864865","0.7074886223","0.7121960897","0.7121960897","0.2878039103","num_dependents"
"           3","        1726","        1566","          40","          97","          23","0.9855254877","0.2919708029","0.7080291971","0.0144745123","0.0249066002","0.9634994206","0.9577294631","0.9802816901","0.9154589261","0.0365005794","0.0979142526","0.0365005794","0.0284896759","0.1687888501","0.0956639475"," 0.846954197","0.6935546848","0.0950283197","1.0950283197","5.4751415985","10.950283197","1.0950283197","0.9304750869","0.9187817469","0.9187817469","0.0812182531","num_dependents"
"           4","        1581","        1573","           0","           0","           8","0.9949399114","           .","           .","0.0050600886","           0","0.9949399114","           .","0.9974635384","           .","0.0050600886","           0","0.0050600886","0.0048396896","0.0695678774","0.0191804416","           .","           .","0.0120177103","1.0120177103","5.0600885515","10.120177103","1.0120177103","0.9949399114","0.9875953824","0.9875953824","0.0124046176","num_dependents"
"           5","        1071","        1067","           0","           0","           4","0.9962651727","           .","           .","0.0037348273","           0","0.9962651727","           .","0.9981290926","           .","0.0037348273","           0","0.0037348273"," 0.003437262","0.0586281673","0.0137623728","           .","           .","0.0084033613","1.0084033613","5.0420168067","10.084033613","1.0084033613","0.9962651727","0.9910127891","0.9910127891","0.0089872109","num_dependents"
"           6","        1121","        1119","           0","           0","           2","0.9982158787","           .","           .","0.0017841213","           0","0.9982158787","           .","0.9991071429","           .","0.0017841213","           0","0.0017841213","0.0008486963","0.0291323933"," 0.003851335","           .","           .","0.0169491525","1.0169491525","5.0847457627","10.169491525","1.0169491525","0.9982158787","0.9967955323","0.9967955323","0.0032044677","num_dependents"
"           7","         522","         522","           0","           0","           0","           1","           .","           .","           0","           0","           1","           .","           1","           .","           0","           0","           0","0.0000319745","0.0056545969","0.0007802266","           .","           .","0.0344827586","1.0344827586","5.1724137931","10.344827586","1.0344827586","           1","0.9992366939","0.9992366939","0.0007633061","num_dependents"
"           0","       10599","        6293","         233","        3809","         264","0.9597376849","0.0576447303","0.9423552697","0.0402623151","0.0357033405","0.9531087838","0.9887378764"," 0.962011771","0.9774757527","0.0468912162","0.0464194735","0.0468912162","0.0349859499"," 0.187045315"," 0.117963079","0.9091184699","0.9020929546","0.6165929541","1.6165929541","8.0829647705","16.165929541","1.6165929541"," 0.615718464"," 0.620099689"," 0.620099689"," 0.379900311","gender"
"           1","        4752","        4112","          97","         467","          76","0.9818529131","0.1719858156","0.8280141844","0.0181470869","0.0230458541","0.9635942761","0.9780741751","0.9793974038","0.9561483502","0.0364057239"," 0.063973064","0.0364057239","0.0272827893","0.1651750264","0.0915771338","0.8859863033","0.8098670975","0.1365807068","1.1365807068","5.6829035339","11.365807068","1.1365807068","0.8857323232","0.8809614211","0.8809614211","0.1190385789","gender"
"           0","        7930","        3400","         192","        4056","         282","0.9234111896","0.0451977401","0.9548022599","0.0765888104","0.0534521158","0.9402269861","0.9815047961","0.9348364036","0.9630095921","0.0597730139","0.0597730139","0.0597730139","0.0452851841","0.2128031582","0.1536564441","0.8782134495","0.8782134495","1.1564367192","2.1564367192","10.782183596","21.564367192","2.1564367192","  0.45296343","0.4646734392","0.4646734392","0.5353265608","at_current_job_1_year"
"           1","        7421","        7005","         138","         220","          58"," 0.991788192","0.3854748603","0.6145251397"," 0.008211808","0.0193196136","0.9735884652","0.9697635487","0.9862030128","0.9395270973","0.0264115348","0.0662983425","0.0264115348","0.0190476199","0.1380131149","0.0629254295","0.8958689433","0.6063133317","0.0533767521","1.0533767521","5.2668837604","10.533767521","1.0533767521","0.9625387414","0.9532279887","0.9532279887","0.0467720113","at_current_job_1_year"
